order_id,created,region,status,amount,qty,email,coupon
ORD-1067,2026-04-29,south,paid,83.33,2,bella1@example.test,SAVE10
ORD-1068,2026-04-12,north,paid,15.75,2,cyril1@example.test,
ORD-1069,2026-05-01,east,paid,121.36,3,dana1@example.test,
ORD-1070,2026-04-25,north,refunded,34.69,2,elio1@example.test,VIP
ORD-1071,2026-05-24,south,pending,143.53,1,fran1@example.test,SAVE25
ORD-1072,2026-04-30,east,pending,147.25,1,gita1@example.test,
ORD-1073,2026-05-10,north,paid,32.72,1,hank1@example.test,
ORD-1074,2026-04-13,east,paid,104.18,1,iris1@example.test,
ORD-1075,2026-04-03,east,pending,83.05,1,jon1@example.test,
ORD-1076,2026-05-08,north,pending,47.49,3,kira1@example.test,
ORD-1077,2026-04-18,east,refunded,81.63,3,liam1@example.test,
ORD-1078,2026-04-29,east,pending,102.22,2,mona1@example.test,SAVE10
ORD-1079,2026-05-13,north,paid,12.75,1,nils1@example.test,SAVE10
ORD-1080,2026-05-09,east,paid,52.53,1,ana2@example.test,
ORD-1081,2026-04-14,west,paid,207.07,2,bo2@example.test,
ORD-1082,2026-04-06,south,pending,200.24,1,carla2@example.test,VIP
ORD-1083,2026-04-18,south,paid,86.42,2,dmitri2@example.test,
ORD-1084,2026-04-15,east,paid,165.12,2,eve2@example.test,
ORD-1085,2026-04-29,north,paid,81.28,1,farid2@example.test,
ORD-1086,2026-04-22,north,paid,55.89,2,gwen2@example.test,
ORD-1087,2026-05-20,north,refunded,120.74,2,hiro2@example.test,
ORD-1088,2026-04-21,north,paid,232.26,1,ines2@example.test,
ORD-1089,2026-04-21,north,paid,149.48,1,jules2@example.test,VIP
ORD-1090,2026-04-20,north,paid,39.62,1,kai2@example.test,
ORD-1091,2026-05-18,south,refunded,185.79,5,lena2@example.test,
ORD-1092,2026-05-11,north,pending,75.03,2,marco2@example.test,SAVE10
ORD-1093,2026-05-28,north,paid,59.64,1,nia2@example.test,VIP
ORD-1094,2026-06-05,north,paid,53.85,1,otto2@example.test,SAVE10
ORD-1095,2026-04-18,west,paid,43.39,1,pia2@example.test,
ORD-1096,2026-06-11,south,paid,39.94,3,quinn2@example.test,SAVE10
ORD-1097,2026-04-20,south,pending,128.61,3,rosa2@example.test,
ORD-1098,2026-04-26,south,paid,58.90,3,sam2@example.test,
ORD-1099,2026-04-14,south,paid,157.56,2,tara2@example.test,SAVE10
ORD-1100,2026-04-20,north,paid,192.22,4,uma2@example.test,SAVE10
ORD-1101,2026-05-11,west,paid,96.96,1,viktor2@example.test,SAVE25
ORD-1102,2026-05-28,east,pending,202.91,2,wei2@example.test,SAVE25
ORD-1103,2026-05-09,west,pending,107.80,3,xena2@example.test,
ORD-1104,2026-04-28,south,paid,136.13,2,yuri2@example.test,
ORD-1105,2026-04-22,north,paid,105.74,6,zoe2@example.test,
ORD-1106,2026-04-13,north,paid,96.22,1,amir2@example.test,
ORD-1107,2026-04-04,north,paid,194.89,3,bella2@example.test,
ORD-1108,2026-05-24,south,paid,46.83,4,cyril2@example.test,SAVE10
ORD-1109,2026-04-30,east,paid,48.14,1,dana2@example.test,
ORD-1110,2026-05-28,north,paid,58.88,1,elio2@example.test,VIP
ORD-1111,2026-05-13,south,paid,201.35,3,fran2@example.test,VIP
ORD-1112,2026-04-19,north,pending,53.07,4,gita2@example.test,SAVE10
ORD-1113,2026-04-26,east,refunded,34.32,1,hank2@example.test,
ORD-1114,2026-04-18,west,paid,21.84,3,iris2@example.test,
ORD-1115,2026-05-24,east,refunded,181.78,3,jon2@example.test,SAVE10
ORD-1116,2026-05-29,east,paid,111.04,1,kira2@example.test,SAVE10
ORD-1117,2026-04-03,north,paid,193.05,3,liam2@example.test,VIP
ORD-1118,2026-04-18,north,pending,146.08,2,mona2@example.test,
ORD-1119,2026-04-25,west,paid,62.50,2,nils2@example.test,
ORD-1120,2026-04-07,south,pending,132.46,2,ana3@example.test,VIP
ORD-1121,2026-04-20,east,pending,59.01,2,bo3@example.test,VIP
ORD-1122,2026-05-06,north,pending,55.95,2,carla3@example.test,
ORD-1123,2026-05-27,south,refunded,16.20,2,dmitri3@example.test,SAVE25
ORD-1124,2026-06-01,west,paid,47.34,1,eve3@example.test,
ORD-1125,2026-04-17,east,pending,146.28,3,farid3@example.test,
ORD-1126,2026-05-05,north,paid,62.16,2,gwen3@example.test,VIP
ORD-1127,2026-04-20,north,paid,91.09,1,hiro3@example.test,VIP
ORD-1128,2026-05-24,west,paid,26.71,4,ines3@example.test,
ORD-1129,2026-04-28,north,paid,102.82,3,jules3@example.test,
ORD-1130,2026-05-13,east,paid,31.30,3,kai3@example.test,
ORD-1131,2026-04-25,east,paid,46.87,1,lena3@example.test,SAVE10
ORD-1132,2026-05-24,south,paid,66.99,4,marco3@example.test,VIP
ORD-1133,2026-05-08,west,paid,78.66,2,nia3@example.test,
ORD-1134,2026-05-20,west,paid,52.90,3,otto3@example.test,
ORD-1135,2026-05-04,west,paid,158.55,3,pia3@example.test,
ORD-1136,2026-04-20,east,refunded,29.48,1,quinn3@example.test,SAVE25
ORD-1137,2026-04-15,north,paid,99.10,1,rosa3@example.test,
ORD-1138,2026-04-18,north,paid,113.74,3,sam3@example.test,VIP
ORD-1139,2026-05-02,north,paid,66.88,3,tara3@example.test,
ORD-1140,2026-05-07,north,paid,117.14,1,uma3@example.test,VIP
ORD-1141,2026-04-22,south,paid,69.94,3,viktor3@example.test,
ORD-1142,2026-06-11,north,paid,123.90,2,wei3@example.test,
ORD-1143,2026-04-27,east,paid,163.80,2,xena3@example.test,
ORD-1144,2026-04-16,north,paid,106.55,3,yuri3@example.test,
ORD-1145,2026-04-25,south,paid,51.53,2,zoe3@example.test,
ORD-1146,2026-05-28,north,paid,141.65,3,amir3@example.test,VIP
ORD-1147,2026-06-04,south,paid,179.51,2,bella3@example.test,
ORD-1148,2026-05-26,south,pending,36.00,2,cyril3@example.test,
ORD-1149,2026-05-20,east,paid,43.15,1,dana3@example.test,
ORD-1150,2026-05-01,north,paid,46.83,1,elio3@example.test,SAVE25
ORD-1151,2026-05-14,north,pending,30.89,1,fran3@example.test,
ORD-1152,2026-05-02,south,paid,70.47,1,gita3@example.test,
ORD-1153,2026-04-28,south,paid,102.57,1,hank3@example.test,
ORD-1154,2026-04-19,east,pending,76.15,3,iris3@example.test,SAVE10
ORD-1155,2026-04-27,north,paid,84.19,4,jon3@example.test,SAVE25
ORD-1156,2026-04-12,east,pending,84.40,4,kira3@example.test,
ORD-1157,2026-05-31,north,pending,226.14,3,liam3@example.test,
ORD-1158,2026-05-18,north,refunded,81.31,5,mona3@example.test,VIP
ORD-1159,2026-05-29,north,paid,130.07,1,nils3@example.test,VIP
ORD-1160,2026-04-21,east,paid,82.93,3,ana4@example.test,SAVE25
ORD-1161,2026-04-23,north,paid,36.11,1,bo4@example.test,
ORD-1162,2026-05-09,west,paid,136.74,3,carla4@example.test,
ORD-1163,2026-04-24,west,paid,95.73,3,dmitri4@example.test,
ORD-1164,2026-04-13,west,paid,66.74,2,eve4@example.test,
ORD-1165,2026-05-04,north,pending,73.75,1,farid4@example.test,VIP
ORD-1166,2026-04-09,east,paid,106.29,4,gwen4@example.test,
ORD-1167,2026-04-22,north,paid,34.68,2,hiro4@example.test,
ORD-1168,2026-04-27,south,pending,32.59,2,ines4@example.test,SAVE10
ORD-1169,2026-04-24,north,paid,43.92,4,jules4@example.test,
ORD-1170,2026-05-04,north,paid,78.68,4,kai4@example.test,SAVE10
ORD-1171,2026-04-12,south,pending,136.09,5,lena4@example.test,
ORD-1172,2026-04-20,north,paid,92.72,1,marco4@example.test,
ORD-1173,2026-05-29,east,paid,170.85,4,nia4@example.test,SAVE25
ORD-1174,2026-04-26,north,paid,135.31,4,otto4@example.test,
ORD-1175,2026-04-15,north,paid,83.68,2,pia4@example.test,
ORD-1176,2026-05-18,north,paid,53.78,5,quinn4@example.test,
ORD-1177,2026-05-11,north,pending,127.62,3,rosa4@example.test,
ORD-1178,2026-05-13,south,paid,29.42,2,sam4@example.test,VIP
ORD-1179,2026-05-10,east,pending,49.27,2,tara4@example.test,
ORD-1180,2026-04-27,east,paid,49.18,1,uma4@example.test,VIP
ORD-1181,2026-04-05,north,paid,127.34,1,viktor4@example.test,
ORD-1182,2026-05-13,north,pending,57.58,2,wei4@example.test,
ORD-1183,2026-05-10,east,refunded,77.85,5,xena4@example.test,
ORD-1184,2026-05-10,west,paid,123.18,1,yuri4@example.test,SAVE25
ORD-1185,2026-04-11,west,paid,16.85,1,zoe4@example.test,VIP
ORD-1186,2026-04-24,north,paid,19.99,1,amir4@example.test,
ORD-1187,2026-05-13,north,paid,62.38,1,bella4@example.test,
ORD-1188,2026-05-18,west,paid,159.05,5,cyril4@example.test,SAVE10
ORD-1189,2026-04-13,north,pending,143.48,1,dana4@example.test,
ORD-1190,2026-05-19,south,paid,28.76,4,elio4@example.test,SAVE10
ORD-1191,2026-04-27,north,paid,51.44,4,fran4@example.test,
ORD-1192,2026-04-24,north,refunded,83.17,3,gita4@example.test,SAVE25
ORD-1193,2026-04-27,east,paid,119.02,1,hank4@example.test,
ORD-1194,2026-04-19,west,paid,145.50,2,iris4@example.test,VIP
ORD-1195,2026-06-05,north,paid,81.25,2,jon4@example.test,
ORD-1196,2026-04-17,south,paid,148.71,2,kira4@example.test,SAVE10
ORD-1197,2026-05-10,south,paid,105.79,6,liam4@example.test,VIP
ORD-1198,2026-05-10,east,paid,61.29,1,mona4@example.test,
ORD-1199,2026-04-12,west,paid,41.64,3,nils4@example.test,VIP
